GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.pm.controller,UserController,0,32,0,0,0,7,0,7,0,7
backend,com.pm.controller,TaskController,0,32,0,0,0,7,0,7,0,7
backend,com.pm.controller,ProjectController,0,27,0,0,0,6,0,6,0,6
backend,com.pm.controller,HomeController,0,5,0,0,0,2,0,2,0,2
backend,com.pm.service,ProjectServiceImpl,0,199,3,19,0,49,3,16,0,8
backend,com.pm.service,UserServiceImpl,0,142,2,14,0,33,2,14,0,8
backend,com.pm.service,TaskServiceImpl,0,213,7,11,0,55,7,11,0,9
backend,com.pm,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.pm.entity,Project,34,71,0,0,1,14,1,16,1,16
backend,com.pm.entity,User,27,39,0,0,3,6,3,11,3,11
backend,com.pm.entity,Task,30,66,0,0,1,11,1,19,1,19
backend,com.pm.entity,ParentTask,15,21,0,0,2,4,2,6,2,6
backend,com.pm.dto,ParentTaskDto,9,17,0,0,1,4,1,5,1,5
backend,com.pm.dto,UserDto,15,31,0,0,1,6,1,9,1,9
backend,com.pm.dto,TaskDto,57,109,0,0,1,15,1,27,1,27
backend,com.pm.dto,ProjectDto,43,83,0,0,1,12,1,21,1,21
backend,com.pm.exception,UserException,0,4,0,0,0,2,0,1,0,1
backend,com.pm.utils,ProjectConverter,0,147,7,7,0,37,7,5,0,5
backend,com.pm.utils,UserConverter,0,92,1,1,0,25,1,5,0,5
backend,com.pm.utils,TaskConverter,15,156,5,5,4,43,5,5,0,5
